estado,cod_municipio_ibge,nome_municipio,regiao,populacao,leitos_uti_total,leitos_uti_100k_hab,leitos_uti_sus_total,leitos_uti_sus_100k_hab,medicos_total,medicos_sus,medicos_100k_hab,medicos_sus_100k_hab,enfermeiros_total,enfermeiros_sus,enfermeiros_100k_hab,enfermeiros_sus_100k_hab
Mato Grosso,5100250,Alta Floresta,Centro-Oeste,51782,10,19.3117299447685,0,0,97,78,187.323780464254,150.631493569194,68,62,131.319763624425,119.732725657564
Rondônia,1100015,Alta Floresta D'Oeste,Norte,22945,0,0,0,0,21,19,91.5232076705165,82.8067117018958,22,22,95.8814556548268,95.8814556548268
São Paulo,3500907,Altair,Sudeste,4160,0,0,0,0,12,12,288.461538461538,288.461538461538,5,5,120.192307692308,120.192307692308
Pará,1500602,Altamira,Norte,114594,10,8.72646037314345,10,8.72646037314345,122,113,106.46281655235,98.6090022165209,167,167,145.731888231496,145.731888231496
Maranhão,2100402,Altamira do Maranhão,Nordeste,8128,0,0,0,0,6,6,73.8188976377953,73.8188976377953,9,9,110.728346456693,110.728346456693
Paraná,4100459,Altamira do Paraná,Sul,1942,0,0,0,0,4,4,205.973223480948,205.973223480947,7,7,360.453141091658,360.453141091658
Ceará,2300606,Altaneira,Nordeste,7586,0,0,0,0,9,9,118.639599261798,118.639599261798,10,10,131.821776957553,131.821776957553
Minas Gerais,3102001,Alterosa,Sudeste,14466,0,0,0,0,6,6,41.4765657403567,41.4765657403567,15,15,103.691414350892,103.691414350892
Pernambuco,2600807,Altinho,Nordeste,22972,0,0,0,0,13,11,56.590632073829,47.8843809855476,15,15,65.2968831621104,65.2968831621104
São Paulo,3501004,Altinópolis,Sudeste,16184,0,0,0,0,30,26,185.36826495304,160.652496292635,20,20,123.578843302027,123.578843302027
Roraima,1400050,Alto Alegre,Norte,15510,0,0,0,0,17,17,109.606705351386,109.606705351386,42,42,270.793036750484,270.793036750484
São Paulo,3501103,Alto Alegre,Sudeste,4099,0,0,0,0,7,7,170.77335935594,170.77335935594,7,7,170.77335935594,170.77335935594
Rio Grande do Sul,4300554,Alto Alegre,Sul,1638,0,0,0,0,2,2,122.100122100122,122.100122100122,0,0,0,0
Maranhão,2100436,Alto Alegre do Maranhão,Nordeste,27053,0,0,0,0,34,34,125.679222267401,125.679222267401,36,36,133.072117694895,133.072117694895
Maranhão,2100477,Alto Alegre do Pindaré,Nordeste,31919,0,0,0,0,14,14,43.861023215013,43.861023215013,28,28,87.722046430026,87.722046430026
Rondônia,1100379,Alto Alegre dos Parecis,Norte,13241,0,0,0,0,6,6,45.3137980515067,45.3137980515067,12,12,90.6275961030134,90.6275961030134
Mato Grosso,5100300,Alto Araguaia,Centro-Oeste,19044,0,0,0,0,21,18,110.270951480781,94.5179584120983,14,13,73.5139676538542,68.2629699642932
Santa Catarina,4200754,Alto Bela Vista,Sul,1937,0,0,0,0,4,4,206.504904491482,206.504904491482,2,2,103.252452245741,103.252452245741
Mato Grosso,5100359,Alto Boa Vista,Centro-Oeste,6822,0,0,0,0,3,3,43.9753737906772,43.9753737906772,6,6,87.9507475813544,87.9507475813544
Minas Gerais,3102050,Alto Caparaó,Sudeste,5847,0,0,0,0,4,4,68.4111510176159,68.4111510176159,4,4,68.4111510176159,68.4111510176159
Rio Grande do Norte,2400703,Alto do Rodrigues,Nordeste,14529,0,0,0,0,14,12,96.3590061256797,82.5934338220112,8,8,55.0622892146741,55.0622892146741
Rio Grande do Sul,4300570,Alto Feliz,Sul,3028,0,0,0,0,7,7,231.175693527081,231.175693527081,2,2,66.0501981505945,66.0501981505945
Mato Grosso,5100409,Alto Garças,Centro-Oeste,12030,0,0,0,0,4,4,33.2502078137988,33.2502078137988,6,6,49.8753117206982,49.8753117206982
Goiás,5200555,Alto Horizonte,Centro-Oeste,6414,0,0,0,0,5,4,77.9544745868413,62.363579669473,13,13,202.681633925787,202.681633925787
Minas Gerais,3153509,Alto Jequitibá,Sudeste,8317,0,0,0,0,2,2,24.0471323794638,24.0471323794638,3,3,36.0706985691956,36.0706985691956
Piauí,2200301,Alto Longá,Nordeste,14304,0,0,0,0,7,7,48.9373601789709,48.9373601789709,11,11,76.9015659955257,76.9015659955257
Mato Grosso,5100508,Alto Paraguai,Centro-Oeste,11356,0,0,0,0,3,3,26.4177527298344,26.4177527298344,12,12,105.671010919338,105.671010919338
Rondônia,1100403,Alto Paraíso,Norte,21428,0,0,0,0,5,5,23.3339555721486,23.3339555721486,11,11,51.3347022587269,51.3347022587269
Paraná,4128625,Alto Paraíso,Sul,2741,0,0,0,0,2,2,72.9660707770887,72.9660707770886,4,4,145.932141554177,145.932141554177
